Dataset,Distance,Radius,Silhouette Score,Adjusted Rand Index,Execution Time
1: 0.1,Euclidean,1.6474700027243572,0.49273445458636284,0.6694486797228033,0.002844572067260742
1: 0.1,Euclidean,1.7593463145208785,0.5633568009004216,0.8272475097950832,0.0
1: 0.1,Euclidean,1.5362931674665399,0.4334308025383597,0.6134151310688825,0.004581928253173828
1: 0.1,Euclidean,1.7593463145208785,0.5352835345846045,0.7340209788358387,0.0
1: 0.1,Euclidean,1.5700059793086063,0.5313608581396794,0.8314204343230531,0.0071222782135009766
1: 0.1,Euclidean,1.5690655580080355,0.5656947204058204,0.4420090118835087,0.0
1: 0.1,Euclidean,1.5335401947850584,0.5454667686196901,0.8192304901937075,0.0055429935455322266
1: 0.1,Euclidean,1.6694438948410726,0.5656947204058204,0.4420090118835087,0.0
1: 0.1,Euclidean,1.5250897544908455,0.5149298746825436,0.6845847961626425,0.0
1: 0.1,Euclidean,1.382482972809351,0.5656947204058204,0.4420090118835087,0.0
1: 0.1,Euclidean,1.5335401947850584,0.5454667686196901,0.8192304901937075,0.0
1: 0.1,Euclidean,1.7593463145208785,0.5633568009004216,0.8272475097950832,0.0
1: 0.1,Euclidean,1.7593463145208785,0.5317764225790185,0.7152369211994277,0.0
1: 0.1,Euclidean,1.7569336814409373,0.5656947204058204,0.4420090118835087,0.0
1: 0.1,Euclidean,1.3756205469054694,0.5656947204058204,0.4420090118835087,0.0
1: 0.1,Euclidean,1.5700059793086063,0.5049704302531012,0.6749078723988458,0.0
1: 0.1,Euclidean,1.5825976529928554,0.5543819945567384,0.8275518324256108,0.002920866012573242
1: 0.1,Euclidean,1.7593463145208785,0.5381386000731164,0.7405258949677666,0.0
