,label,distance_type,algorithm,precision,radius_min,silhouette_mean,silhouette_max,rand_index_mean,rand_index_max,exec_time_mean
55,breast_cancer_wisconsin_original,euclidean,Busca Binaria 2,20,5.726332207364999,0.5017710000414131,0.5017710000414131,0.2546131316857628,0.2546131316857628,0.6566837949999353
56,breast_cancer_wisconsin_original,euclidean,Busca Binaria 2,3,6.36229470539403,0.513919731873699,0.513919731873699,0.05118379287433361,0.05118379287433361,0.1485878749999756
57,breast_cancer_wisconsin_original,euclidean,Busca Binaria 2,4,6.044179970124328,0.5501020384178281,0.5501020384178281,0.5512494587243109,0.5512494587243109,0.2972766729999421
58,breast_cancer_wisconsin_original,euclidean,Busca Binaria 2,5,5.726065234854627,0.5648288953621665,0.5648288953621665,0.7654150385072587,0.7654150385072587,0.36891394899998886
59,breast_cancer_wisconsin_original,euclidean,Busca Binaria 2,6,5.726065234854627,0.5387336132246177,0.5387336132246177,0.5322419723722958,0.5322419723722958,0.4252465349998147
60,breast_cancer_wisconsin_original,manhattan,Busca Binaria 1,2,14.526289372605103,0.5806444602223407,0.6331416712716657,0.42445391800225646,0.8074236512201587,0.00040267320001324456
61,breast_cancer_wisconsin_original,manhattan,Busca Binaria 1,20,14.058157000245759,0.6076901441922026,0.6399397613831556,0.53268141440703,0.7451566378338215,0.0038193388666513785
62,breast_cancer_wisconsin_original,manhattan,Busca Binaria 1,3,14.526289372605103,0.5781458281811316,0.638679779794955,0.4096578200943995,0.8340138294097716,0.0006213128333456552
63,breast_cancer_wisconsin_original,manhattan,Busca Binaria 1,4,13.618396286817283,0.5987928355598557,0.6364826152896915,0.5112924168121815,0.8553802725978205,0.0008940023000150177
64,breast_cancer_wisconsin_original,manhattan,Busca Binaria 1,5,14.526289372605103,0.5987524532207414,0.6384063248777815,0.5092689519155432,0.8180135962903043,0.0010639504999971905
65,breast_cancer_wisconsin_original,manhattan,Busca Binaria 1,6,14.299316101158148,0.6110616367209911,0.6401084303802156,0.5766687006837495,0.8446679792097064,0.0013643158666733748
66,breast_cancer_wisconsin_original,manhattan,Busca Binaria 2,2,14.526289372605103,0.5456410647148143,0.5456410647148143,0.29657633746652157,0.29657633746652157,0.012572570999964228
67,breast_cancer_wisconsin_original,manhattan,Busca Binaria 2,20,13.362608049268665,0.6330060645727488,0.6330060645727488,0.6845263606757069,0.6845263606757069,0.12390775600010784
68,breast_cancer_wisconsin_original,manhattan,Busca Binaria 2,3,14.526289372605103,0.5994112768398233,0.5994112768398233,0.44025152927976924,0.44025152927976924,0.021177174999820636
69,breast_cancer_wisconsin_original,manhattan,Busca Binaria 2,4,13.618396286817283,0.5511514397406612,0.5511514397406612,0.23302493016027703,0.23302493016027703,0.018685560999983863
70,breast_cancer_wisconsin_original,manhattan,Busca Binaria 2,5,13.164449743923374,0.5357949416925396,0.5357949416925396,0.15132383512294847,0.15132383512294847,0.02390323100007663
71,breast_cancer_wisconsin_original,manhattan,Busca Binaria 2,6,12.710503201029464,0.6273105155740082,0.6273105155740082,0.6261291260074583,0.6261291260074583,0.029060445999903095
72,mammographic_mass,euclidean,Busca Binaria 1,2,7.740852955085897,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.02968259339998743
73,mammographic_mass,euclidean,Busca Binaria 1,20,6.0475413711608565,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.18480764296665106
74,mammographic_mass,euclidean,Busca Binaria 1,3,7.740852955085897,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.04026171406665829
75,mammographic_mass,euclidean,Busca Binaria 1,4,5.805639716314422,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.04382446323334837
76,mammographic_mass,euclidean,Busca Binaria 1,5,6.289443026007291,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.05417292226664661
77,mammographic_mass,euclidean,Busca Binaria 1,6,6.289443026007291,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.06974684896665621
78,mammographic_mass,euclidean,Busca Binaria 2,2,7.740852955085897,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.19774014700010412
79,mammographic_mass,euclidean,Busca Binaria 2,20,5.998257452467168,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.6816441979999581
80,mammographic_mass,euclidean,Busca Binaria 2,3,5.805639716314422,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.2689345419998972
81,mammographic_mass,euclidean,Busca Binaria 2,4,6.7732463357001595,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.406092985999976
82,mammographic_mass,euclidean,Busca Binaria 2,5,6.289443026007291,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.39198323799996615
