label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
4: 0.1,manhattan,KMeans,0.3788426141605878,0.0,0.3873731768423269,0.0,0.0026163021723429364,0.0060745812433862225
4: 0.1,manhattan,Maiores Distancias,0.24376305659202965,0.037210698110319025,0.11665041756154343,0.07721821117148771,0.0014425277709960937,0.003043154625416026
5: 0.1,euclidean,KMeans,0.8209849023705371,0.0,1.0,0.0,0.0012860457102457682,0.002927432821692347
5: 0.1,euclidean,Maiores Distancias,0.8206110433527969,0.001422985642847452,0.9993322111301924,0.002541351997958999,0.001061852773030599,0.0033419203480404788
5: 0.1,manhattan,KMeans,0.7987076138789387,0.0,1.0,0.0,0.0014784892400105795,0.00385999380504056
5: 0.1,manhattan,Maiores Distancias,0.7953556505872476,0.0049012461784549086,0.9936832547147855,0.008823545784347535,0.0005821704864501954,0.002817987377214709
6: 0.1,euclidean,KMeans,0.8286582445427629,0.0,1.0,0.0,0.0020599842071533205,0.0047006549512988455
6: 0.1,euclidean,Maiores Distancias,0.8286582445427629,0.0,1.0,0.0,0.0008384943008422852,0.0029647590093160162
6: 0.1,manhattan,KMeans,0.8243116135465961,0.0,1.0,0.0,0.0021361748377482096,0.004918206732969904
6: 0.1,manhattan,Maiores Distancias,0.8238188448168091,0.0015053985985407465,0.9989983166952885,0.0030564220100001397,0.0010042746861775717,0.0038219127567805343
7: 0.1,euclidean,KMeans,0.5060090917146205,0.0,0.5861306532663316,0.0,0.0008063157399495443,0.0032463129502953176
7: 0.1,euclidean,Maiores Distancias,0.37235763929812943,0.07593657111038063,0.30553924085543216,0.11796645463688546,0.0009406487147013347,0.003395228226418527
7: 0.1,manhattan,KMeans,0.4992279956779708,0.0,0.5861306532663316,0.0,0.0022049427032470705,0.004252863145175725
7: 0.1,manhattan,Maiores Distancias,0.37762608857433594,0.06260436859569786,0.3450800454910658,0.11508303435631233,0.0010831197102864583,0.0037963571874037954
8: 0.1,euclidean,KMeans,0.7684914299501515,0.0,1.0,0.0,0.0017536560694376628,0.00385497457107432
8: 0.1,euclidean,Maiores Distancias,0.7543419756818401,0.017384196095683195,0.9680883817314374,0.033791010710527015,0.0009884436925252278,0.003324183041840436
8: 0.1,manhattan,KMeans,0.7689837225425916,0.0,1.0,0.0,0.0014696280161539713,0.003971574643451171
8: 0.1,manhattan,Maiores Distancias,0.7582157616557724,0.01415990865149684,0.9774410764403175,0.026270763897906474,0.0007612784703572591,0.002911090569031231
9: 0.1,euclidean,KMeans,0.7209943226657155,0.0,1.0,0.0,0.0020623127619425457,0.004498134562129717
9: 0.1,euclidean,Maiores Distancias,0.6757908436228034,0.05836321418964602,0.9019888809242381,0.10294254966898055,0.0007814327875773112,0.0029450826138829626
9: 0.1,manhattan,KMeans,0.7283767316598723,0.0,1.0,0.0,0.0017018318176269531,0.003958294155405692
9: 0.1,manhattan,Maiores Distancias,0.6973516174700515,0.03466916005726478,0.9296965654717233,0.0687397314654852,5.060831705729167e-05,0.0002020583809784616
10: 0.1,euclidean,KMeans,0.7830914441827926,0.0,1.0,0.0,0.0015282710393269858,0.004012874977880517
10: 0.1,euclidean,Maiores Distancias,0.773938809255599,0.017341669633146116,0.9807070102943636,0.03379065829465647,0.00045233567555745443,0.0021052763717539355
10: 0.1,manhattan,KMeans,0.7783560763318508,0.0,1.0,0.0,0.0015852848688761394,0.0040611882561158675
10: 0.1,manhattan,Maiores Distancias,0.7638797320043099,0.01901701538470309,0.9705438304553363,0.03747251831950842,0.0007353067398071289,0.002802207450345039
11: 0.5,euclidean,KMeans,0.43997305223790156,0.0,0.6556689101416817,0.0,0.0013378938039143881,0.0033023847766436385
11: 0.5,euclidean,Maiores Distancias,0.30931848841636295,0.07796812473354335,0.3274340766470133,0.1394735705715097,0.0010862906773885092,0.003564314289663483
11: 0.5,manhattan,KMeans,0.4373219419142524,0.0,0.6556689101416817,0.0,0.0031813700993855794,0.005493328931413002
11: 0.5,manhattan,Maiores Distancias,0.2883816816678713,0.0637225940404441,0.2908758688232924,0.11250756332692952,0.00024431546529134115,0.00042402679256746704
12: 0.5,euclidean,KMeans,0.3576764756919561,0.0,0.09928237436695359,0.0,0.003871623675028483,0.006698011922701391
12: 0.5,euclidean,Maiores Distancias,0.26619425554584364,0.04631695800025081,0.044463141530066155,0.02799031908495218,0.0004835208257039388,0.0024676308023302202
12: 0.5,manhattan,KMeans,0.364240543528366,0.0,0.09928237436695359,0.0,0.0027581135431925456,0.0048345487132406715
12: 0.5,manhattan,Maiores Distancias,0.2343207756317159,0.03235525818595073,0.037784513140002515,0.01848130347769358,0.0006073395411173503,0.0028652715005548306
13: 0.5,euclidean,KMeans,0.3634857492350663,0.0,0.5361602947358725,0.0,0.002417135238647461,0.005215409213624402
13: 0.5,euclidean,Maiores Distancias,0.3157815162356215,0.0556373914912163,0.30360448645246535,0.09577746118895965,0.00020905335744222006,0.0004495592795305238
