Dataset,Distance,Radius,Algorithm,Silhouette Score,Adjusted Rand Index,Execution Time
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.1756507664768651,0.0348020886709826,0.0028146049999122624
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.17376847127718548,0.031003537545973556,0.004499106000025677
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.15868480897695583,0.02571363610772712,0.0028480970000828165
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.10026992203331003,0.02363515332719268,0.0036768810000467056
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.16659212646386948,0.026551781820819974,0.0025635870000542127
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.16717238677709134,0.029581315407725548,0.002867556999945009
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.16856316918205796,0.037181603813249635,0.0032741590000568976
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.18078803470435145,0.01566777361244923,0.003433615999938411
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.1934548658908748,0.019253325569894668,0.004002140000011423
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.2408802256921372,0.031370801289349666,0.002812210000001869
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.18426582012434733,0.032650093015701764,0.003547140000023319
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.2132546548709592,0.02570900401368121,0.00420629400002781
abstenteeism_at_work,manhattan,16.45567676029192,Busca Binaria 2,2,0.23980686159053072,0.015494872870009838,0.07929031699995903
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.17643897609571602,0.02808179957732191,0.005508089000045402
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.2555832187464095,0.03395683362842724,0.005745961000002353
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.2888844652356105,0.028825456731662858,0.005334414999992987
